NaPTAN	TIPLOC	Name
NX000919	LUTOBUS	Luton Airport Bus Station
LUTOAPY	LUTNAIR	Luton Airport Parkway Rail Station
ZZSYATT	ATTRCLI	Attercliffe (Sheffield Supertram)
ZZSYCAS	SHEFCAS	Castle Square (Sheffield Supertram)
ZZSYCAT	SHEFCAT	Cathedral (Sheffield Supertram)
ZZSYCIR	SHEFCIR	Cricket Inn Road (Sheffield Supertram)
ZZSYCRB	BRGLCAR	Carbrook (Sheffield Supertram)
ZZSYDVS	SHEFARE	Arena - Don Valley (Sheffield Supertram)
ZZSYFIZ	SHEFFIT	Fitzalan Sq - Ponds Forge (Sheffield Supertram)
ZZSYHYP	SHEFHYD	Hyde Park (Sheffield Supertram)
ZZSYNUN	NNRYSQU	Nunnery Square (Sheffield Supertram)
ZZSYPAR	PARKGAT	Parkgate (Sheffield Supertram)
ZZSYVEN	BRGLVAL	Valley Centertainment (Sheffield Supertram)
ZZSYWBN	WDBRNRD	Woodbourn Road (Sheffield Supertram)
BRS1	BRSTAIR	Bristol International Airport
CWL1	CRDFAIR	Cardiff International Airport
EDI1	EDINAIR	Edinburgh Airport
EMA1	EMPKAIR	East Midlands Airport
EXT1	EXETAIR	Exeter Airport
BRB	BDICK	Brodick Isle of Arran Ferry Terminal
BRK	BRKNIOM	Birkenhead 12 Quays
CAN	CANNA	Canna Ferry Terminal
CNU	CRGURE	Craignure Mull Ferry Terminal
COL	COLL	Coll Ferry Terminal
CSY	COLONSY	Colonsay Ferry Terminal
CUM	CUMBRAE	Cumbrae Ferry Terminal
CYN	CNRYNP	Cairnryan Ferry Terminal
DNU	DUNOON	Dunoon Ferry Terminal
GAL	EIGG	Eigg Ferry Terminal
GUR	GOURPIE	Gourock Ferry Terminal
KLH	RHUM	Rum Ferry Terminal
KWL	KIRKWAL	Kirkwall Orkney Ferry Terminal
LMA	LCHMADY	Lochmaddy North Uist Ferry Terminal
LMR	LISMORE	Lismore Ferry Terminal
LRK	LERWICK	Lerwick Shetland Esplanade Ferry Terminal
PEN	PNZQUAY	Penzance Ferry Terminal
PHD	LVRPLSG	Liverpool Pier Head Ferry Terminal
RAY	RSAY	Rothesay Ferry Terminal
SCR	SCRBSTR	Scrabster Ferry Terminal
SNS	SNSS	Stromness Orkney Ferry Terminal
STO	STWY	Stornoway Lewis Ferry Terminal
TAB	TARBERT	Tarbert (Harris) Ferry Terminal
TIL	TLBYRSD	Tilbury Ferry Terminal
TRE	TIREE	Tiree Ferry Terminal
UIG	UIGG	Uig Skye Ferry Terminal
ULL	ULLAPOL	Ullapool Ferry Terminal
YMO	YMTHIOW	Yarmouth IOW Ferry Terminal
ARM	ARMADLE	Armadale Ferry Terminal
SADWRD	SANWBUS	St Andrews Bus Station
DSA1	DONCRHA	Robin Hood Doncaster Sheffield Airport
GLA1	GLGAPT	Glasgow International Airport
NX002433	PBROUND	Oundle Market Place
NX001657	WDBDGBS	Wadebridge Coach Stop
NX002087	MINEPAR	Minehead Parade Coach Stop
NX000987	MINEBUT	Minehead Butlins Coach Stop
NX001082	OKHMPWS	Okehampton West Street Coach Stop
NX000422	PBRODMP	Dereham Market Place Coach Stop
NX000964	MELROSE	Melrose Square Coach Stop
NX001141	PBROBST	Peterborough Queensgate Bus Station
NX002670	PDSTWBT	Padstow Old Railway Station
NX000244	BUDESTD	Bude Strand Coach Stop
NX000673	HLSTCOI	Helston Coinagehall Street Coach Stop
NX001703	YORKWHT	Whitby Bus Station Station Square
NX000229	BROADFO	Broadford Post Office Coach Stop
NX000804	KYLEAKN	Kyleakin Youth Hostel Coach Stop
CBA	CSBY	Castlebay Barra Ferry Terminal
MAR1	STMAQUY	St Mary's Isles Of Scilly Ferry Terminal
GWS1	GRVSWSP	Gravesend West Street Pier
ZZLUHWY	HLWYRLT	Holloway Road London Transport
NX002593	HSFTLBD	Leeds Bradford International Airport
