AtcoCode	CrsRef	Latitude	Longitude	StationName	StopType	TiplocRef	StationName2	NodeID
9100CONWY	CNW	53.2801017104	-3.8305242024	Conwy	RLY	CONWY	Conwy Rail Station	
9100CODNBCH	COB	50.8333724821	0.4268588494	Cooden Beach	RLY	CODNBCH	Cooden Beach Rail Station	
9100COOKHAM	COO	51.557462722	-0.7220789851	Cookham	RLY	COOKHAM	Cookham Rail Station	
9100COKSBDG	CBR	50.9037564866	-0.009202668	Cooksbridge	RLY	COKSBDG	Cooksbridge Rail Station	
9100COOMBE	COE	50.4459196738	-4.4818512319	Coombe Junction Halt (Rail)	RLY	COOMBE	Coombe Junction Halt (Rail Station)	
9400ZZCRCOO		51.3597913976	-0.0595601969	Coombe Lane Tram Stop	MET		Coombe Lane Tram Stop	
9100COPLSTN	COP	50.8144665383	-3.7515717072	Copplestone	RLY	COPLSTN	Copplestone Rail Station	
		51.4904568	-0.0560838	Corbetts Lane Junction	TPL	CRBTLNJ	Corbetts Lane Junction  1737140466	
9100CRBG	CRB	54.9662608745	-2.0184000743	Corbridge	RLY	CRBG	Corbridge Rail Station	
9100CORBY	COR	52.4888513909	-0.6883353167	Corby	RLY	CORBY	Corby Rail Station	
9400ZZSRCFC		50.6383465357	-2.055111961	Corfe Castle (Swanageway)	MET		Corfe Castle (Swanage Railway)	
9100CKHL	CKH	55.8375008922	-4.3342925012	Corkerhill	RLY	CKHL	Corkerhill Rail Station	
9100CRCK	CKL	54.5416793299	-3.5821640485	Corkickle	RLY	CRCK	Corkickle Rail Station	
9400ZZMACRN		53.4699411822	-2.2676119095	Cornbrook (Manchester Metrolink)	MET		Cornbrook (Manchester Metrolink)	
9100CORPACH	CPA	56.8428268989	-5.1219564928	Corpach	RLY	CORPACH	Corpach Rail Station	
9400ZZWMCOR		52.4798475367	-1.8971823361	Corporation Street (Midland Metro Stop)	MET		Corporation Street (Midland Metro Stop)	
9100CORROUR	CRR	56.7602135952	-4.6906001953	Corrour	RLY	CORROUR	Corrour Rail Station	
9100CORYTON	COY	51.5204360165	-3.2318178819	Coryton	RLY	CORYTON	Coryton Rail Station	
9100COSELEY	CSY	52.5450824965	-2.0857774829	Coseley	RLY	COSELEY	Coseley Rail Station	
9100COSFORD	COS	52.6448338747	-2.3002746676	Cosford	RLY	COSFORD	Cosford Rail Station	
9100COSHAM	CSA	50.8419241157	-1.0673286837	Cosham	RLY	COSHAM	Cosham Rail Station	
9100CTTGHM	CGM	53.7816489226	-0.4064339029	Cottingham	RLY	CTTGHM	Cottingham Rail Station	
9100COTNGLY	COT	53.7678166314	-1.5877080424	Cottingley	RLY	COTNGLY	Cottingley Rail Station	
9100COLSDNS	CDS	51.3158381493	-0.1378872138	Coulsdon South	RLY	COLSDNS	Coulsdon South Rail Station	
9100COLSTWN	CDN	51.3220426429	-0.1344641509	Coulsdon Town	RLY	COLSTWN	Coulsdon Town Rail Station	
9400ZZLUCGN		51.5130933184	-0.124435547	Covent Garden Underground	MET		Covent Garden Underground Station	
9100COVNTRY	COV	52.4008136445	-1.513459614	Coventry	RLY	COVNTRY	Coventry Rail Station	
9100COVAREN	CAA	52.4477329466	-1.494124546	Coventry Arena	RLY	COVAREN	Coventry Arena Rail Station	
9400ZZGLCOW		55.8680722966	-4.2599321147	Cowcaddens SPTSubway	MET		Cowcaddens SPTSubway Station	
9100COWDEN	CWN	51.1556372421	0.1100328121	Cowden	RLY	COWDEN	Cowden Rail Station	
9300MOU	MOU	51.1506742527	0.1009695205	Cowden-Crossroads	BCQ	COWDBUS	Cowden-Crossroads	
9100CWDNBTH	COW	56.1120916096	-3.3431857394	Cowdenbeath	RLY	CWDNBTH	Cowdenbeath Rail Station	
9100CRADLYH	CRA	52.4696535632	-2.0904881333	Cradley Heath	RLY	CRADLYH	Cradley Heath Rail Station	
9100CRGDRN	CGD	55.9947960434	-4.7112437262	Craigendoran	RLY	CRGDRN	Craigendoran Rail Station	
		55.9949242	-4.7115583	Craigendoran West Highlands Line	TPL	CRGDWHL	Craigendoran West Highlands Line 1300647174	
9300CNU		56.470760202	-5.7063131053	Craignure	FER	CRGURE	Craignure	
9100CRMLNGT	CRM	55.08776801	-1.5985949452	Cramlington	RLY	CRMLNGT	Cramlington Rail Station	
9100CBRK	CBK	50.7500913549	-3.420415351	Cranbrook	RLY	CBRK	Cranbrook Rail Station	
9100CRAVENA	CRV	52.4425387606	-2.8374218714	Craven Arms	RLY	CRAVENA	Craven Arms Rail Station	
9100CRAWLEY	CRW	51.1122138025	-0.1866728564	Crawley	RLY	CRAWLEY	Crawley Rail Station	
9100CRFD	CRY	51.4482799065	0.1789361688	Crayford	RLY	CRFD	Crayford Rail Station	
9100CREDITN	CDI	50.7833026872	-3.6467775693	Crediton	RLY	CREDITN	Crediton Rail Station	
9100CRESING	CES	51.852336706	0.5779611679	Cressing	RLY	CRESING	Cressing Rail Station	
9100CRSNGTN	CSG	53.3587489882	-2.912002865	Cressington	RLY	CRSNGTN	Cressington Rail Station	
9100CRWLL	CWD	53.2641124458	-1.2163947387	Creswell (Derbys)	RLY	CRWLL	Creswell (Derbys) Rail Station	
9100CREWE	CRE	53.0896248672	-2.4329688335	Crewe	RLY	CREWE	Crewe Rail Station	
		53.080237322	-2.4357855459	Crewe Gresty Green East Junction	TP4	CREWGGE	Crewe Gresty Green East Junction	
9100CRKRN	CKN	50.873535591	-2.7784960152	Crewkerne	RLY	CRKRN	Crewkerne Rail Station	
9100CRHL	CWH	51.6844858184	-0.1068870149	Crews Hill	RLY	CRHL	Crews Hill Rail Station	
9100CRNLRCH	CNR	56.3904761331	-4.6184335315	Crianlarich	RLY	CRNLRCH	Crianlarich Rail Station	
9100CRICCTH	CCC	52.9184104941	-4.2375119213	Criccieth	RLY	CRICCTH	Criccieth Rail Station	
9400ZZSYCIR		53.384009779	-1.4466277283	Cricket Inn Road (Sheffield Supertram)	MET		Cricket Inn Road (Sheffield Supertram)	
9100CRKLWD	CRI	51.5584529595	-0.2126765563	Cricklewood	RLY	CRKLWD	Cricklewood Rail Station	
9100CFFT	CFF	55.8182564111	-4.228324643	Croftfoot	RLY	CFFT	Croftfoot Rail Station	
9100CFPK	CFT	51.4551892025	-0.0365029624	Crofton Park	RLY	CFPK	Crofton Park Rail Station	
9100CMER	CMR	52.9300844817	1.2928245453	Cromer	RLY	CMER	Cromer Rail Station	
9100CROMFD	CMF	53.1129321073	-1.5491618467	Cromford	RLY	CROMFD	Cromford Rail Station	
9100CROKSTN	CKT	55.8423130233	-4.364674969	Crookston	RLY	CROKSTN	Crookston Rail Station	
9100CSGT	CRG	53.8049136676	-1.4515803316	Cross Gates	RLY	CSGT	Cross Gates Rail Station	
9400ZZMACSS		53.3833614888	-2.2562587898	Crossacres (Manchester Metrolink)	MET		Crossacres (Manchester Metrolink)	
9100CFLATTS	CFL	53.8584658199	-1.8448859775	Crossflatts	RLY	CFLATTS	Crossflatts Rail Station	
9400ZZDLCLA		51.4957282215	-0.0146063027	Crossharbour DLR	MET		Crossharbour DLR Station	
9100CROSSHL	COI	55.833285156	-4.2568112807	Crosshill	RLY	CROSSHL	Crosshill Rail Station	
9100CRSKEYS	CKY	51.620901863	-3.1261699232	Crosskeys	RLY	CRSKEYS	Crosskeys Rail Station	
9100CRSMYLF	CMY	55.833945625	-4.2843173954	Crossmylo of	RLY	CRSMYLF	Crossmylo of Rail Station	
9100CROT	CSO	53.6675600786	-2.7777497057	Croston	RLY	CROT	Croston Rail Station	
9100CROUCHH	CRH	51.5713018791	-0.1171487389	Crouch Hill	RLY	CROUCHH	Crouch Hill Rail Station	
9100CBGH	COH	51.0463815649	0.1880125044	Crowborough	RLY	CBGH	Crowborough Rail Station	
9400ZZWSCRW		51.1013499103	-3.2339262892	Crowcombe Heathfield (West Somersetway)	MET		Crowcombe Heathfield (West Somerset Railway)	
9100CRWHRST	CWU	50.8885793493	0.5013366284	Crowhurst	RLY	CRWHRST	Crowhurst Rail Station	
9100CROWLE	CWE	53.5897331383	-0.8173585581	Crowle	RLY	CROWLE	Crowle Rail Station	
3800C713300		52.9013157481	-2.146988175	Crown Street Stone	BCT	STONECS	Stone Crown Street	
9100CRWTHRN	CRN	51.3667275343	-0.8192733192	Crowthorne	RLY	CRWTHRN	Crowthorne Rail Station	
9400ZZLUCXY		51.6470437401	-0.4417180652	Croxley Underground	MET		Croxley Underground Station	
9100CROY	CRO	55.955677333	-4.035975959	Croy	RLY	CROY	Croy Rail Station	
9400ZZMACRU		53.5174207955	-2.2410363304	Crumpsall (Manchester Metrolink)	MET		Crumpsall (Manchester Metrolink)	
9100CRYSTLP	CYP	51.4181090349	-0.0726097971	Crystal Palace	RLY	CRYSTLP	Crystal Palace Rail Station	
9400ZZSYCRY		53.3416864922	-1.3561275839	Crystal Peaks (Sheffield Supertram)	MET		Crystal Peaks (Sheffield Supertram)	
9100CUDNGTN	CUD	53.239919267	-2.5993062431	Cuddington	RLY	CUDNGTN	Cuddington Rail Station	
9100CUFFLEY	CUF	51.7087217241	-0.1097833319	Cuffley	RLY	CUFFLEY	Cuffley Rail Station	
9100CULHAM	CUM	51.653793234	-1.2365137073	Culham	RLY	CULHAM	Culham Rail Station	
9400ZZTWCCS		55.0350500783	-1.4362463321	Cullercoats (Tyne and Wear Metro)	MET		Cullercoats (Tyne and Wear Metro Station)	
9100CULRAIN	CUA	57.9195130338	-4.4042706239	Culrain	RLY	CULRAIN	Culrain Rail Station	
9100CMBRNLD	CUB	55.9420258408	-3.9803343317	Cumbernauld	RLY	CMBRNLD	Cumbernauld Rail Station	
9100CUPAR	CUP	56.3169872093	-3.0087561664	Cupar	RLY	CUPAR	Cupar Rail Station	
9100CURRIEH	CUH	55.9005653655	-3.3187513661	Curriehill	RLY	CURRIEH	Curriehill Rail Station	
9100CUSTMHS		51.5099540969	0.0269545647	Custom House	RLY		Custom House Rail Station	
9400ZZDLCUS		51.5097157106	0.0266989923	Custom House (for Ex Cel) DLR	MET		Custom House (for Ex Cel) DLR Station	
9400ZZDLCUT		51.4816712508	-0.0108097815	Cutty Sark (for Maritime Greenwich) DLR	MET		Cutty Sark (for Maritime Greenwich) DLR Station	
9100CXTN	CUX	51.3739265999	0.4617086968	Cuxton	RLY	CXTN	Cuxton Rail Station	
9100CMBH	CMH	51.701927276	-3.4137230824	Cwmbach	RLY	CMBH	Cwmbach Rail Station	
9100CWMBRAN	CWM	51.656585933	-3.0162033363	Cwmbran	RLY	CWMBRAN	Cwmbran Rail Station	
9100CYNGHRD	CYN	52.0514978223	-3.7482105633	Cynghordy	RLY	CYNGHRD	Cynghordy Rail Station	
9400ZZDLCYP		51.508472957	0.0639248033	Cyprus DLR	MET		Cyprus DLR Station	
9100DGNHMDC	DDK	51.5260896747	0.1461029794	Dagenham Dock	RLY	DGNHMDC	Dagenham Dock Rail Station	
9400ZZLUDGE		51.5440960071	0.1660165842	Dagenham East Underground	MET	DGNHELT	Dagenham East Underground Station	
9400ZZLUDGY		51.5416392022	0.1475267867	Dagenham Heathway Underground	MET		Dagenham Heathway Underground Station	
9100DAISYH	DSY	53.5394529162	-2.5158610222	Daisy Hill	RLY	DAISYH	Daisy Hill Rail Station	
9400ZZREDLG		54.3951852073	-3.2742984427	Dalegarth (Ravenglassand Eskdaleway)	MET		Dalegarth (Ravenglassand Eskdale Railway)	
9100DALGETY	DAG	56.0420945921	-3.3677205836	Dalgety Bay	RLY	DALGETY	Dalgety Bay Rail Station	
9100DLMALLY	DAL	56.4011891967	-4.98355207	Dalmally	RLY	DLMALLY	Dalmally Rail Station	
9100DLMRNOK	DAK	55.8420852587	-4.2177085974	Dalmarnock	RLY	DLMRNOK	Dalmarnock Rail Station	
9100DLMY	DAM	55.9863186252	-3.3816196054	Dalmeny	RLY	DLMY	Dalmeny Rail Station	
9100DALMUIR	DMR	55.9119292585	-4.4266808932	Dalmuir	RLY	DALMUIR	Dalmuir Rail Station	
9100DLREOCH	DLR	55.9474149906	-4.577862941	Dalreoch	RLY	DLREOCH	Dalreoch Rail Station	
9100DALRY	DLY	55.706220129	-4.7110796267	Dalry	RLY	DALRY	Dalry Rail Station	
9100DALSTON	DLS	54.84617612	-2.9888519379	Dalston (Cumbria)	RLY	DALSTON	Dalston (Cumbria) Rail Station	
9100DALS	DLJ	51.546115633	-0.07513749	Dalston Junction	RLY	DALS	Dalston Junction Rail Station	
9100DALSKLD	DLK	51.5481481936	-0.0757007451	Dalston Kingsland	RLY	DALSKLD	Dalston Kingsland Rail Station	
9100DALTON	DLT	54.1542367642	-3.1790027741	Dalton	RLY	DALTON	Dalton Rail Station	
9100DALWHIN	DLW	56.9351696784	-4.2461984344	Dalwhinnie	RLY	DALWHIN	Dalwhinnie Rail Station	
9400ZZKWDMM		53.8459590152	-1.9243476241	Damems (Keighley & Worth Valleyway)	MET		Damems (Keighley & Worth Valley Railway)	
9100DANBY	DNY	54.4661532541	-0.9109557494	Danby	RLY	DANBY	Danby Rail Station	
9400ZZMADNE		53.4302945484	-2.3113852857	Dane Road (Manchester Metrolink)	MET		Dane Road (Manchester Metrolink)	
9100DANESCT	DCT	51.5005058508	-3.2339168193	Danescourt	RLY	DANESCT	Danescourt Rail Station	
9100DANZEY	DZY	52.3248126335	-1.8208771505	Danzey	RLY	DANZEY	Danzey Rail Station	
9400ZZPRDDL		53.1604035714	-1.5942956213	Darley Dale (Peak)	MET		Darley Dale (Peak Rail)	
9100DLTN	DAR	54.5204478657	-1.5473238242	Darlington	RLY	DLTN	Darlington Rail Station	
9100DARNALL	DAN	53.3845841998	-1.4125670678	Darnall	RLY	DARNALL	Darnall Rail Station	
9100DARSHAM	DSM	52.2729991724	1.5234701168	Darsham	RLY	DARSHAM	Darsham Rail Station	
9100DARTFD	DFD	51.4473706782	0.2192478908	Dartford	RLY	DARTFD	Dartford Rail Station	
9400ZZWMDR		52.5204634231	-2.004539807	Dartmouth Street (Midland Metro Stop)	MET		Dartmouth Street (Midland Metro Stop)	
9100DRTN	DRT	53.5883677195	-1.5316574099	Darton	RLY	DRTN	Darton Rail Station	
9100DARWEN	DWN	53.6980359088	-2.4649396696	Darwen	RLY	DARWEN	Darwen Rail Station	
9100DATCHET	DAT	51.4830768677	-0.5794218285	Datchet	RLY	DATCHET	Datchet Rail Station	
9100DAVNPRT	DVN	53.390900398	-2.1529577531	Davenport	RLY	DAVNPRT	Davenport Rail Station	
9400ZZNODVL		52.9848749053	-1.1821610224	David Lane Tram Stop	MET		David Lane Tram Stop	
9100DAWLISH	DWL	50.5808204337	-3.46462521	Dawlish	RLY	DAWLISH	Dawlish Rail Station	
9100DAWLSHW	DWW	50.5987105889	-3.4435614822	Dawlish Warren	RLY	DAWLSHW	Dawlish Warren Rail Station	
9100DEAL	DEA	51.223044527	1.3988470148	Deal	RLY	DEAL	Deal Rail Station	
9100DEAN	DEN	51.0424609343	-1.6348670291	Dean	RLY	DEAN	Dean Rail Station	
9100MNCRDLN		53.5041106	-2.1846496127	Dean Lane (closed)	RLY		Dean Lane Rail Station (closed)	
9100MNCRDGT	DGT	53.4741837623	-2.2510509465	Deansgate	RLY	MNCRDGT	Deansgate Rail Station	
9400ZZMAGMX		53.4747494899	-2.2513104145	Deansgate-Castlefield (Manchester Metrolink)	MET		Deansgate-Castlefield (Manchester Metrolink)	
9400ZZLUDBN		51.6453862718	0.0837821761	Debden Underground	MET		Debden Underground Station	
9100DEGANWY	DGY	53.2947474472	-3.8333863039	Deganwy	RLY	DEGANWY	Deganwy Rail Station	
9100DEIGHTN	DHN	53.6684825779	-1.7518963942	Deighton	RLY	DEIGHTN	Deighton Rail Station	
9100DELAMER	DLM	53.228775259	-2.6665603067	Delamere	RLY	DELAMER	Delamere Rail Station	
9100DNDL	DBD	53.572631032	-1.6632103405	Denby Dale	RLY	DNDL	Denby Dale Rail Station	
9100DENHAM	DNM	51.5788372482	-0.4974367743	Denham	RLY	DENHAM	Denham Rail Station	
9100DENHMGC	DGC	51.5805976673	-0.5177866018	Denham Golf Club	RLY	DENHMGC	Denham Golf Club Rail Station	
9100DENMRKH	DMK	51.4682026711	-0.0893608031	Denmark Hill	RLY	DENMRKH	Denmark Hill Rail Station	
9100DENT	DNT	54.2824086558	-2.3635985695	Dent	RLY	DENT	Dent Rail Station	
9100DNTON	DTN	53.4568656638	-2.1316595194	Denton	RLY	DNTON	Denton Rail Station	
9100DEPTFD	DEP	51.4788480269	-0.0262701307	Deptford	RLY	DEPTFD	Deptford Rail Station	
9400ZZDLDEP		51.4742151684	-0.0224381324	Deptford Bridge DLR	MET		Deptford Bridge DLR Station	
9100DRBY	DBY	52.9165478574	-1.4633546248	Derby	RLY	DRBY	Derby Rail Station	
9100DERBYRD	DBR	52.0505548339	1.1826434831	Derby Road (Ipswich)	RLY	DERBYRD	Derby Road (Ipswich) Rail Station	
		52.9139823	-1.4626096	Derby Way & Works Junction	TPL	DRBYWWJ	Derby Way & Works Junction 1017983220	
9400ZZMNDER		52.6788219105	0.9474951078	Dereham (Mid Norfolkway)	MET		Dereham (Mid Norfolk Railway)	
9100DERKER		53.5501406963	-2.1016880762	Derker (closed)	RLY		Derker Rail Station (closed)	
9400ZZMADER		53.5498081801	-2.1016269058	Derker (Manchester Metrolink)	MET		Derker (Manchester Metrolink)	
9400ZZVRDVB		52.3758480658	-3.8541531758	Devils Bridge (Vale of Rheidolway)	MET		Devils Bridge (Vale of Rheidol Railway)	
9100DEVNPRT	DPT	50.3785333817	-4.1707098642	Devonport	RLY	DEVNPRT	Devonport Rail Station	
9400ZZDLDEV		51.5226671709	-0.0176152002	Devons Road DLR	MET		Devons Road DLR Station	
		53.8295975	-3.0395975	Devonshire Road Junction	TPL	BLCKDRJ	Devonshire Road Junction  28379243	
9100DWBY	DEW	53.6921313523	-1.6331063759	Dewsbury	RLY	DWBY	Dewsbury Rail Station	
9100DIDCOTP	DID	51.610954351	-1.2428934327	Didcot Parkway	RLY	DIDCOTP	Didcot Parkway Rail Station	
		51.6190933	-1.2455402	Didcot Signal SB2207	TP4	DIDC207	Didcot Signal SB2207	1801846111
9400ZZMADID		53.416729445	-2.2285648335	Didsbury Village (Manchester Metrolink)	MET		Didsbury Village (Manchester Metrolink)	
9100DIGBY	DIG	50.71398935	-3.4735604367	Digby & Sowton	RLY	DIGBY	Digby & Sowton Rail Station	
9100DILTONM	DMH	51.2489871833	-2.2079152909	Dilton Marsh	RLY	DILTONM	Dilton Marsh Rail Station	
9100DINASR	DMG	51.6178339704	-3.437541092	Dinas (Rhondda)	RLY	DINASR	Dinas (Rhondda) Rail Station	
9400ZZWHDIN		53.1037552614	-4.2766595679	Dinas (Welsh Highland Rly-Caernarfon)	MET		Dinas (Welsh Highland Rly-Caernarfon)	
9100DINASP	DNS	51.4316642431	-3.2183515515	Dinas Powys	RLY	DINASP	Dinas Powys Rail Station	
9100DGLROAD	DGL	51.4400535971	-3.1805905359	Dingle Road	RLY	DGLROAD	Dingle Road Rail Station	
9100DINGWAL	DIN	57.5942353512	-4.4221988056	Dingwall	RLY	DINGWAL	Dingwall Rail Station	
9100DINSDAL	DND	54.5147288194	-1.4670649796	Dinsdale	RLY	DINSDAL	Dinsdale Rail Station	
9100DNTG	DTG	53.4493306124	-1.9702985481	Dinting	RLY	DNTG	Dinting Rail Station	
9100DISLEY	DSL	53.3581826811	-2.0424815187	Disley	RLY	DISLEY	Disley Rail Station	
9100DISS	DIS	52.3736579092	1.123697554	Diss	RLY	DISS	Diss Rail Station	
9100DOCKYDP	DOC	50.3821690755	-4.1758977088	Dockyard (Plymouth)	RLY	DOCKYDP	Dockyard (Plymouth) Rail Station	
9100DODWRTH	DOD	53.5443247261	-1.5316907157	Dodworth	RLY	DODWRTH	Dodworth Rail Station	
9100DOLAU	DOL	52.2953503694	-3.2636203311	Dolau	RLY	DOLAU	Dolau Rail Station	
9100DOLEHAM	DLH	50.9185882191	0.6099748606	Doleham	RLY	DOLEHAM	Doleham Rail Station	
9100DOLGARG	DLG	53.1863479938	-3.8226361232	Dolgarrog	RLY	DOLGARG	Dolgarrog Rail Station	
9400ZZTLDOL		52.6221714163	-3.9940284152	Dolgoch Falls (Talyllynway)	MET		Dolgoch Falls (Talyllyn Railway)	
9400ZZLUDOH		51.5519548708	-0.2390677639	Dollis Hill Underground	MET		Dollis Hill Underground Station	
9100DLWYDLN	DWD	53.0520123701	-3.8851321661	Dolwyddelan	RLY	DLWYDLN	Dolwyddelan Rail Station	
9100DONC	DON	53.5221494842	-1.1398452072	Doncaster	RLY	DONC	Doncaster Rail Station	
		53.5017066	-1.1139194	Doncaster Signal D236	TP4	DONC236	Doncaster Signal D236	2152326303
9400ZZSYDON		53.3417264761	-1.3703654726	Donetsk Way (Sheffield Supertram)	MET		Donetsk Way (Sheffield Supertram)	
9400ZZWSDON		51.1782230857	-3.3111008496	Doniford Beach (West Somersetway)	MET		Doniford Beach (West Somerset Railway)	
9100DRCHS	DCH	50.7092919024	-2.4372426808	Dorchester South	RLY	DRCHS	Dorchester South Rail Station	
9100DRCHW	DCW	50.7109535421	-2.4425409597	Dorchester West	RLY	DRCHW	Dorchester West Rail Station	
9100DORE	DOR	53.3276343106	-1.5152975941	Dore & Totley	RLY	DORE	Dore & Totley Rail Station	
9100DORKING	DKG	51.2409298387	-0.324250704	Dorking	RLY	DORKING	Dorking Rail Station	
9100DEPDENE	DPD	51.2388041881	-0.3246431075	Dorking Deepdene	RLY	DEPDENE	Dorking Deepdene Rail Station	
9100DRKGW	DKT	51.2362259747	-0.3399784824	Dorking West	RLY	DRKGW	Dorking West Rail Station	
9100DORMANS	DMS	51.1557917958	-0.0043081818	Dormans	RLY	DORMANS	Dormans Rail Station	
9100DORIDGE	DDG	52.3720684162	-1.7529002504	Dorridge	RLY	DORIDGE	Dorridge Rail Station	
		54.1470434	-4.4679204	Douglas, Isle of Man	FER	DOUGLAS	Douglas, Isle of Man	4375877404
9100DVHL	DVH	53.3000279192	-1.8897515383	Dove Holes	RLY	DVHL	Dove Holes Rail Station	
9100DOVERP	DVP	51.1257005228	1.3052937123	Dover Priory	RLY	DOVERP	Dover Priory Rail Station	
9100DOVRCRT	DVC	51.9387383955	1.2806111313	Dovercourt	RLY	DOVRCRT	Dovercourt Rail Station	
9100DOVYJN	DVY	52.5643588453	-3.9239021378	Dovey Junction	RLY	DOVYJN	Dovey Junction Rail Station	
9100DOWNHAM	DOW	52.6041088423	0.3656811653	Downham Market	RLY	DOWNHAM	Downham Market Rail Station	
		53.7239596	-1.0031114	Drax Power Staion Signal D17	TP2	DRAXD17	Drax Power Staion Signal D17	5200294206
9100DRAYGRN	DRG	51.5166166225	-0.3301941741	Drayton Green	RLY	DRAYGRN	Drayton Green Rail Station	
9100DRYP	DYP	51.552769874	-0.1055089278	Drayton Park	RLY	DRYP	Drayton Park Rail Station	
9100DREMJ	DRM	56.0051226066	-2.7860478245	Drem	RLY	DREMJ	Drem Rail Station	
9100DRIFILD	DRF	54.0015281547	-0.4346649295	Driffield	RLY	DRIFILD	Driffield Rail Station	
9100DRIGG	DRI	54.37695942	-3.443412975	Drigg	RLY	DRIGG	Drigg Rail Station	
9100DRTWCHS	DTW	52.2682029728	-2.1583631399	Droitwich Spa	RLY	DRTWCHS	Droitwich Spa Rail Station	
9100DRONFLD	DRO	53.3013688659	-1.4687785261	Dronfield	RLY	DRONFLD	Dronfield Rail Station	
9400ZZMADRO		53.4794385914	-2.1446728033	Droylsden (Manchester Metrolink)	MET		Droylsden (Manchester Metrolink)	
9100DRMCHPL	DMC	55.9048120121	-4.3628788305	Drumchapel	RLY	DRMCHPL	Drumchapel Rail Station	
9100DRMFCHR	DFR	55.9412476738	-4.7747660385	Drumfrochar	RLY	DRMFCHR	Drumfrochar Rail Station	
9100DRMGLCH	DRU	55.8673534022	-3.9488820993	Drumgelloch	RLY	DRMGLCH	Drumgelloch Rail Station	
9400ZZKDDRM		57.4831434523	-3.0400314534	Drummuir (Keithand Dufftownway)	MET		Drummuir (Keithand Dufftown Railway)	
9100DRUMRY	DMY	55.9045918998	-4.3854722465	Drumry	RLY	DRUMRY	Drumry Rail Station	
		53.3458609	-6.2202436	Dublin Ferryport	FER	DUBLINF	Dublin Ferryport	701847414
		53.3476525	-6.1988546	Dublin Port Stena	FER	DUBLFST	Dublin Port Stena	1797056183
9100DUDESTN	DUD	52.4883628289	-1.8713904593	Duddeston	RLY	DUDESTN	Duddeston Rail Station	
9100DUDLPT	DDP	52.5246513479	-2.0494795502	Dudley Port	RLY	DUDLPT	Dudley Port Rail Station	
9400ZZWMSG		52.5251289431	-2.0085935916	Dudley Street Guns Village (Midland Metro Stop)	MET		Dudley Street Guns Village (Midland Metro Stop)	
9100DUFIELD	DFI	52.9884006775	-1.4859717111	Duffield	RLY	DUFIELD	Duffield Rail Station	
9400ZZEVDUF		52.987989829	-1.4865873392	Duffield (Ecclesbourne Valleyway)	MET		Duffield (Ecclesbourne Valley Railway)	
9400ZZKDDUF		57.4578478908	-3.1306839069	Dufftown (Keithand Dufftownway)	MET		Dufftown (Keithand Dufftown Railway)	
9100DUIRNSH	DRN	57.3199761629	-5.6913160805	Duirinish	RLY	DUIRNSH	Duirinish Rail Station	
9100DUKEST	DST	55.8584363685	-4.213047594	Duke Street	RLY	DUKEST	Duke Street Rail Station	
9100DULNGHM	DUL	52.2016508535	0.3666639285	Dullingham	RLY	DULNGHM	Dullingham Rail Station	
9100DMBRTNC	DBC	55.9466548759	-4.5669205724	Dumbarton Central	RLY	DMBRTNC	Dumbarton Central Rail Station	
9100DMBRTNE	DBE	55.9422468865	-4.5541366994	Dumbarton East	RLY	DMBRTNE	Dumbarton East Rail Station	
9100DUMBRCK	DUM	55.8446488867	-4.3012390335	Dumbreck	RLY	DUMBRCK	Dumbreck Rail Station	
9100DUMFRES	DMF	55.0725561352	-3.6043032725	Dumfries	RLY	DUMFRES	Dumfries Rail Station	
9100DUMPTNP	DMP	51.3456996959	1.425818777	Dumpton Park	RLY	DUMPTNP	Dumpton Park Rail Station	
9100DUNBAR	DUN	55.9982936716	-2.5133461399	Dunbar	RLY	DUNBAR	Dunbar Rail Station	
9100DUNANE	DBL	56.1858896827	-3.9654859893	Dunblane	RLY	DUNANE	Dunblane Rail Station	
9100DUNCRAG	DCG	57.3370017433	-5.6371306286	Duncraig	RLY	DUNCRAG	Duncraig Rail Station	
9100DUNDETB	DEE	56.4564859313	-2.9712045476	Dundee	RLY	DUNDETB	Dundee Rail Station	
		56.4542374507	-2.9793245939	Dundee DMU Sidings	TP4	DUNDDMU	Dundee DMU Sidings	
		56.4542374507	-2.9793245939	Dundee West Reception Line	TP4	DUNDWRL	Dundee West Reception Line	
9400ZZCRDDR		51.4175547138	-0.2076791621	Dundonald Road Tram Stop	MET		Dundonald Road Tram Stop	
9100DNFRMQM	DFL	56.0805744415	-3.4214677688	Dunfermline Queen Margaret	RLY	DNFRMQM	Dunfermline Queen Margaret Rail Station	
9100DNFRMLE	DFE	56.0681900004	-3.4525286657	Dunfermline Town	RLY	DNFRMLE	Dunfermline Town Rail Station	
9400ZZRHDUN		50.9146176665	0.9701369807	Dungeness (RHDR)	MET		Dungeness Station (RHDR)	
9100DUNKELD	DKD	56.5570565025	-3.5783989284	Dunkeld & Birnam	RLY	DUNKELD	Dunkeld & Birnam Rail Station	
9100DNLP	DNL	55.7118798907	-4.5323888006	Dunlop	RLY	DNLP	Dunlop Rail Station	
9300DNU		55.946478129	-4.9213109451	Dunoon	FER	DUNOON	Dunoon	
9100DNROBIN	DNO	57.9855335218	-3.9489208588	Dunrobin Castle	RLY	DNROBIN	Dunrobin Castle Rail Station	
		55.7780988225	-2.343242722	Duns	BCS	DUNS	Duns	
9400ZZWSDUN		51.1931186785	-3.4385207036	Dunster (West Somersetway)	MET		Dunster (West Somerset Railway)	
