AtcoCode	CrsRef	Latitude	Longitude	StationName	StopType	TiplocRef	StationName2	NodeID
9100ADERLYP	ADD	52.4830859425	-1.8559444202	Adderley Park	RLY	ADERLYP	Adderley Park Rail Station	
9100ADIEWEL	ADW	55.8434089458	-3.6065264125	Addiewell	RLY	ADIEWEL	Addiewell Rail Station	
9400ZZCRADV		51.3562407295	-0.0326937224	Addington Village Tram Stop	MET		Addington Village Tram Stop	
9400ZZCRADD		51.3798103512	-0.0732419215	Addiscombe Tram Stop	MET		Addiscombe Tram Stop	
9100ADLESTN	ASN	51.3730456637	-0.4844567172	Addlestone	RLY	ADLESTN	Addlestone Rail Station	
9100ADISHAM	ADM	51.2412015359	1.1990892676	Adisham	RLY	ADISHAM	Adisham Rail Station	
9100ADLC	ADC	53.3195539787	-2.1335624728	Adlington (Cheshire)	RLY	ADLC	Adlington (Cheshire) Rail Station	
9100ADNL	ADL	53.6132442806	-2.6030708131	Adlington (Lancs)	RLY	ADNL	Adlington (Lancs) Rail Station	
9400ZZBPMNH		53.8455142435	-3.053832013	Admiral's Point (not in use) (Blackpool Tramway)	MET		Admiral's Point (not in use) (Blackpool Tramway)	
9100ADWICK	AWK	53.5723207186	-1.1803562072	Adwick	RLY	ADWICK	Adwick Rail Station	
9100AIGBURT	AIG	53.3645649206	-2.9271549255	Aigburth	RLY	AIGBURT	Aigburth Rail Station	
9100AINSDAL	ANS	53.6020322563	-3.042652009	Ainsdale	RLY	AINSDAL	Ainsdale Rail Station	
9100AINTREE	AIN	53.4739096243	-2.9562803142	Aintree	RLY	AINTREE	Aintree Rail Station	
9100AIRBLES	AIR	55.782833104	-3.994192441	Airbles	RLY	AIRBLES	Airbles Rail Station	
9100AIRDRIE	ADR	55.8639787978	-3.9829120638	Airdrie	RLY	AIRDRIE	Airdrie Rail Station	
9100ALBNYPK	AYP	51.435452655	0.1257371561	Albany Park	RLY	ALBNYPK	Albany Park Rail Station	
9100ALBNHV		51.4382606036	0.1320547753	Albany Park-Hurst Road/Valentine Avenue	BCQ	ALBNHRC	Albany Park-Hurst Road/Valentine Avenue	
9100ALBRGHT	ALB	52.6379422462	-2.2688999444	Albrighton	RLY	ALBRGHT	Albrighton Rail Station	
9100ALDEDGE	ALD	53.3037801276	-2.2367990692	Alderley Edge	RLY	ALDEDGE	Alderley Edge Rail Station	
9100ALDMSTN	AMT	51.4019616982	-1.1374238096	Aldermaston	RLY	ALDMSTN	Aldermaston Rail Station	
9100ALDRSHT	AHT	51.2464183771	-0.7598597989	Aldershot	RLY	ALDRSHT	Aldershot Rail Station	
9400ZZLUADE		51.5150370847	-0.07238358	Aldgate East Underground	MET		Aldgate East Underground Station	
9400ZZLUALD		51.514246054	-0.0756886069	Aldgate Underground	MET		Aldgate Underground Station	
9100ALDTON	AGT	50.8363838387	-0.1838214341	Aldrington	RLY	ALDTON	Aldrington Rail Station	
9100ALEXNDP	AAP	51.597923996	-0.1202351393	Alexandra Palace	RLY	ALEXNDP	Alexandra Palace Rail Station	
9100ALXPD	AXP	55.8631709152	-4.2106480075	Alexandra Parade	RLY	ALXPD	Alexandra Parade Rail Station	
9400ZZBPALX		53.8010431062	-3.0554948921	Alexandra Road (not in use) (Blackpool Tramway)	MET		Alexandra Road (not in use) (Blackpool Tramway)	
9100ALXANDR	ALX	55.9850831496	-4.5774842363	Alexandria	RLY	ALXANDR	Alexandria Rail Station	
9100ALFRETN	ALF	53.1004317221	-1.3696960723	Alfreton	RLY	ALFRETN	Alfreton Rail Station	
9400ZZDLALL		51.5109998404	-0.0131353447	All Saints DLR	MET		All Saints DLR Station	
9100ALLENSW	ALW	54.5246227622	-1.3611166922	Allens West	RLY	ALLENSW	Allens West Rail Station	
9100ALLOA	ALO	56.1177891919	-3.7900556215	Alloa	RLY	ALLOA	Alloa Rail Station	
9100ALNESS	ASS	57.6943941169	-4.2497162851	Alness	RLY	ALNESS	Alness Rail Station	
9100ALNMOTH	ALM	55.3927775781	-1.6366376588	Alnmouth	RLY	ALNMOTH	Alnmouth Rail Station	
9400ZZLUALP		51.5406273467	-0.2996095182	Alperton Underground	MET		Alperton Underground Station	
9100ALRESFD	ALR	51.8540007899	0.9974365883	Alresford (Essex)	RLY	ALRESFD	Alresford (Essex) Rail Station	
9400ZZMHALR		51.088355543	-1.1611164039	Alresford (Mid Hantsway)	MET		Alresford (Mid Hants Railway)	
9100ALSAGER	ASG	53.0930033362	-2.2990575331	Alsager	RLY	ALSAGER	Alsager Rail Station	
9100ZZTYALS	ZZT	54.8146310092	-2.4418123969	Alston	RLY	ZZTYALS	Alston Rail Station	
9400ZZTYALS		54.8145951779	-2.4417808842	Alston (South Tynedaleway)	MET		Alston (South Tynedale Railway)	
9100ALTHORN	ALN	51.6478704748	0.7524835631	Althorne	RLY	ALTHORN	Althorne Rail Station	
9100ALTPE	ALP	53.5855007856	-0.7331822015	Althorpe	RLY	ALTPE	Althorpe Rail Station	
9100ALTNBRC	ABC	58.3881482762	-3.7062802186	Altnabreac	RLY	ALTNBRC	Altnabreac Rail Station	
9100ALTON	AON	51.1519687911	-0.9669132	Alton	RLY	ALTON	Alton Rail Station	
9400ZZMHALT		51.1519960152	-0.9669411882	Alton (Mid-Hantsway)	MET		Alton (Mid-Hants Railway)	
9100ALTRNHM	ALT	53.3877165657	-2.3468887856	Altrincham	RLY	ALTRNHM	Altrincham Rail Station	
9400ZZMAALT		53.3879770547	-2.3469510471	Altrincham (Manchester Metrolink)	MET		Altrincham (Manchester Metrolink)	
9100ALVCHRC	ALV	52.3460705859	-1.9676604945	Alvechurch	RLY	ALVCHRC	Alvechurch Rail Station	
